127.0.0.1 - - [27/Dec/2022:16:03:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:08:00 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:08:00 +0900] "GET /Culvers/logo.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:08:00 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:08:22 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:08:22 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:07 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:07 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:07 +0900] "GET /Culvers/style.css HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:31 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:31 +0900] "GET /Culvers/style.css HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:31 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:42 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:42 +0900] "GET /Culvers/style.css HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:15:42 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:04 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:04 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:04 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:05 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:05 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:07 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:07 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:07 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:11 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:11 +0900] "GET /Culvers/style.css HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:11 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:19 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:20 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:20 +0900] "GET /Culvers/style.css HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:31 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:31 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:31 +0900] "GET /Culvers/style.css HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:38 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:38 +0900] "GET /Culvers/style.css HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:38 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:42 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:55 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:55 +0900] "GET /Culvers/style.css HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:55 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:56 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:57 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:57 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:59 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:59 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:59 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:59 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:16:59 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:07 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:07 +0900] "GET /Culvers/style.css HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:07 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:42 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:42 +0900] "GET /Culvers/style.css HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:42 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:43 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:43 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:43 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:43 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:43 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:17:43 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:18:22 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:18:22 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:18:22 +0900] "GET /Culvers/style.css HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:18:22 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:18:22 +0900] "GET /Culvers/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:18:22 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:19:25 +0900] "GET /Culvers/index.jsp HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:19:25 +0900] "GET /Culvers/style.css HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [27/Dec/2022:16:19:25 +0900] "GET /Culvers/images/logo.png HTTP/1.1" 200 5401
